PeakID	Chr	Start	End	Conc	Conc_KO	Conc_WT	Fold	p-value	FDR
3957	chr15	59537192	59544995	9.51443009033857	8.52398846944681	10.0961923398719	-1.43221737262032	2.34666139012843e-25	2.43351503405168e-21
4497	chr16	32738162	32744354	9.31521899689576	9.89493327165368	8.33085008623333	1.42303866667573	4.11901664531429e-25	2.43351503405168e-21
10365	chr7	140318184	140331833	10.3067889777821	9.50757134315333	10.8180943408262	-1.21448609290126	2.14287957183097e-24	8.44008834025158e-21
10366	chr7	140352466	140362666	8.9433956792653	7.85172464691428	9.5576649185623	-1.52508936140037	2.29803480422775e-23	6.78839481168878e-20
1432	chr11	4364704	4371110	8.07372993550509	6.7978280601452	8.74006213598163	-1.68485767335784	5.20295514719021e-22	1.22956236038399e-18
10367	chr7	140368728	140381330	10.4747777123081	9.78267287993992	10.94054308893	-1.07383735403402	2.02259075040621e-21	3.98315538446662e-18
3961	chr15	59725361	59732606	9.15837565531705	8.45894621321636	9.62741169985674	-1.08127475203868	3.06339539202182e-21	5.17101142173283e-18
6476	chr2	104558588	104564386	8.7896007871413	7.81390857555837	9.36636881873824	-1.3919539140851	4.2321084052714e-21	6.25082411458585e-18
7475	chr4	32286442	32294967	9.6609932332869	10.11964218116	8.98464171070859	1.05344746567778	4.91514339811008e-21	6.45303715467429e-18
6407	chr2	85008015	85017725	10.0608736026851	10.5773294733432	9.24880115900206	1.21221344082758	5.87666885367418e-21	6.94387191750141e-18
10364	chr7	140203194	140215343	10.1325663622123	9.21612768644821	10.6885638065874	-1.32350909529094	1.42198541053431e-20	1.52747087371577e-17
6131	chr2	27019682	27029798	9.68695882086608	9.05441278220503	10.1252122111997	-0.994674262165389	5.62784948901841e-20	5.54155579685346e-17
1000	chr10	60157364	60173859	10.7452463221134	10.0783222245235	11.1995821387812	-1.03673248219663	1.58509497180822e-19	1.44072939899122e-16
10363	chr7	140185517	140197824	9.57155973073838	8.61809211819869	10.1406718299878	-1.34785557695714	5.01466593540544e-19	4.23237804948219e-16
10344	chr7	132744720	132784502	11.7968408479899	11.2533089453956	12.1907081653222	-0.878838227393116	6.10523591287844e-19	4.80929783643811e-16
3956	chr15	59519437	59527517	9.97741247396212	9.34044796663814	10.4177645540054	-0.994784492847009	8.29567113654928e-19	6.12635313434164e-16
3503	chr14	45071284	45104564	11.8817025687395	11.4126484225998	12.235095780128	-0.778716362973395	1.75037982719687e-18	1.21661694342107e-15
636	chr1	171766065	171774726	9.61430297167684	8.99019684727793	10.0485210839273	-0.977996984018461	2.61160607129138e-18	1.71437429657661e-15
