TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000280"	"nuclear division"	-69.85660849435203	2.505149978319906	1.5293892031834309	0.887082210738561	0.01342802	null
"GO:0000070"	"mitotic sister chromatid segregation"	-60.983403288840165	2.1271047983648077	0.6376450282865088	0.8142913558265741	0.8716411	280
"GO:0000819"	"sister chromatid segregation"	-63.35278672986634	2.1398790864012365	0.6568223223703136	0.8379275655802518	0.87477556	280
"GO:0140014"	"mitotic nuclear division"	-65.94701138439727	2.2095150145426308	0.7718860868731422	0.8252279844297677	0.89005379	280
"GO:0001906"	"cell killing"	-7.198218496688096	2.167317334748176	0.6999712340588743	0.9853748767311102	0.01227461	null
"GO:0002181"	"cytoplasmic translation"	-120.54681504134913	2.103803720955957	0.6040847636398504	0.8159449283855505	0	null
"GO:0140236"	"translation at presynapse"	-82.7771918958923	1.6812412373755872	0.22533320548470612	0.8193429689570181	0.69702731	2181
"GO:0140241"	"translation at synapse"	-82.35256156673451	1.6901960800285136	0.2301275290056573	0.8291239479013663	0.6983395	2181
"GO:0140242"	"translation at postsynapse"	-82.35256156673451	1.6901960800285136	0.2301275290056573	0.8190751866604703	0.99597271	2181
"GO:0002449"	"lymphocyte mediated immunity"	-8.259129126779397	2.250420002308894	0.8485952632083613	0.7729563533974828	0.43764108	null
"GO:0001909"	"leukocyte mediated cytotoxicity"	-7.231189473290628	1.8260748027008264	0.31642535238277875	0.7785636279871745	0.84365251	2449
"GO:0002228"	"natural killer cell mediated immunity"	-8.259129126779397	1.5185139398778875	0.1534183526704382	0.785127884024958	0.78936053	2449
"GO:0002263"	"cell activation involved in immune response"	-8.195259322634067	2.3502480183341627	1.0691341451721161	0.736995295469782	0.8575373	2449
"GO:0002366"	"leukocyte activation involved in immune response"	-8.218672480726957	2.342422680822206	1.0499568510883115	0.7348308318152478	0.83629399	2449
"GO:0002443"	"leukocyte mediated immunity"	-7.231189473290628	2.3710678622717363	1.1218717039025794	0.7758338594873794	0.86382974	2449
"GO:0042267"	"natural killer cell mediated cytotoxicity"	-8.259129126779397	1.505149978319906	0.14862402914948702	0.774604894476082	0.78713896	2449
"GO:0002460"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	-6.561061908482378	2.287801729930226	0.9253044395435804	0.8325520513260272	0.44193507	null
"GO:0002697"	"regulation of immune effector process"	-8.565262067300326	2.6693168805661123	2.234154760763256	0.8585629837647907	0.04532783	null
"GO:0042129"	"regulation of T cell proliferation"	-8.338480882671576	2.307496037913213	0.9684533512321412	0.8596199406806924	0.82985965	2697
"GO:0050863"	"regulation of T cell activation"	-8.089773716002712	2.5921767573958667	1.8697861731709655	0.8512422228077411	0.6097602	2697
"GO:0071677"	"positive regulation of mononuclear cell migration"	-8.125199792798043	1.9084850188786497	0.38354588167609555	0.8681951998269598	0.50661479	2697
"GO:1903706"	"regulation of hemopoiesis"	-5.834193120087102	2.645422269349092	2.1142966727394765	0.8576490111447225	0.61954614	2697
"GO:0002831"	"regulation of response to biotic stimulus"	-6.435185636130094	2.7075701760979363	2.440310672164158	0.9393048089132836	0.34640604	null
"GO:0006091"	"generation of precursor metabolites and energy"	-25.997136123337388	2.5237464668115646	1.5965097324767474	0.9036250941911226	0.16299712	null
"GO:0006260"	"DNA replication"	-66.86085977852296	2.271841606536499	0.891744174896922	0.854177824459984	0.24912458	null
"GO:0006261"	"DNA-templated DNA replication"	-49.91592349890637	2.103803720955957	0.6040847636398504	0.8587924691896521	0.65979636	6260
"GO:0007059"	"chromosome segregation"	-90.27474645343737	2.5237464668115646	1.5965097324767474	0.883718908899939	0.01207904	null
"GO:0044772"	"mitotic cell cycle phase transition"	-54.851917597521904	2.1958996524092336	0.7479144692683862	0.8840590945260768	0.67435931	7059
